NAME	TITLE	SCORE	
PRUNE2		46.5422	
NGLY1		46.5084	
GPD2		46.4973	
ATP1A4		46.4452	
CNBP		46.3848	
SPTB		46.3814	
RTP2		46.3586	
HOXC4		46.3169	
ARPP19		46.3162	
SQSTM1		46.2826	
KDM7A		46.2412	
PVRIG		46.2275	
CCDC43		46.2263	
NUP153		46.2141	
UBOX5		46.2	
SNN		46.1346	
TGFBRAP1		46.1124	
DHPS		46.0832	
USP7		46.0666	
EPHB1		46.0658	
CLIP4		46.0556	
TMCC1		46.0294	
TTN		46.004	
HLCS		45.9624	
CHAD		45.9347	
EEPD1		45.9212	
XRN1		45.8699	
AFF1		45.8514	
TNKS		45.8178	
DLG5		45.8006	
LPIN1		45.7944	
CBLL1		45.7787	
CEP68		45.7689	
RPA1		45.7397	
CYB5R1		45.6963	
SRRD		45.6744	
CUL4A		45.6381	
SLC25A38		45.6235	
ATXN7L2		45.6223	
SMG1		45.6092	
GAPDH		45.5612	
UBQLN4		45.5539	
TTLL11		45.5502	
NEO1		45.5393	
ADRM1		45.5325	
SLC43A2		45.5067	
IRAK2		45.4936	
SETDB1		45.4684	
TECR		45.4261	
KCTD8		45.4252	
CDKN2B		45.4234	
RHOU		45.4165	
CDH20		45.3837	
CECR2		45.3828	
MEF2C		45.3769	
DDX54		45.3679	
UBXN1		45.3377	
KRR1		45.3113	
STK11		45.3099	
UPF2		45.3053	
EEF2		45.3001	
PHKG1		45.2837	
AKIRIN2		45.1657	
CPSF4		45.1336	
DCP1B		45.1306	
IGF2R		45.1029	
MANEAL		45.087	
SLC29A2		45.0662	
PRPS1		45.0418	
SETD3		45.0412	
RPS6KA3		44.9673	
UBE2E3		44.8824	
SATB2		44.873	
PGM1		44.8519	
THRAP3		44.8412	
EPC1		44.7826	
INO80		44.7581	
HDLBP		44.7545	
CNOT7		44.7407	
B3GNT5		44.7371	
UTP18		44.708	
SLC47A1		44.6615	
GLDC		44.6216	
EIF1		44.5932	
PARP6		44.5686	
PCM1		44.5669	
